id,judet,total_someri,total_femei,total_barbati,indemnizati,neindemnizati,rata_somaj,rata_somaj_femei,rata_somaj_barbati,total_urban,femei_urban,barbati_urban,total_rural,femei_rural,barbati_rural,fara_studii,invatamant_primar,invatamant_gimnazial,invatamant_liceal,invatamant_post,invatamant_profesional,invatamant_universitar,sub_25,25_29,30_39,40_49,50_55,peste_55,month,year
517, ALBA,5356,2430,2926,1811,3545,3.18,3.14,3.23,1921,973,948,3435,1457,1978,655,796,1577,1082,60,892,294,630,314,1080,1470,932,930,1,2020
518, ARAD,2367,1215,1152,858,1509,1.11,1.27,0.97,916,474,442,1451,741,710,235,529,555,520,39,294,195,344,108,290,636,475,514,1,2020
519, ARGES,8094,3771,4323,2437,5657,3.12,3.07,3.16,1449,815,634,6645,2956,3689,674,1858,2560,1274,125,1214,389,734,429,1592,2288,1581,1470,1,2020
520, BACAU,11107,4464,6643,1778,9329,5.24,4.89,5.5,2640,899,1741,8467,3565,4902,2177,771,1139,2663,107,3987,263,1129,516,1755,3077,2132,2498,1,2020
521, BIHOR,3972,2203,1769,2071,1901,1.5,1.82,1.23,1316,790,526,2656,1413,1243,239,693,888,1027,92,583,450,410,218,731,1178,765,670,1,2020
522, BISTRITA NASAUD,3482,1705,1777,1625,1857,2.7,2.99,2.47,1106,621,485,2376,1084,1292,202,290,1099,986,71,640,194,517,184,653,825,661,642,1,2020
523, BOTOSANI,3578,1529,2049,983,2595,2.62,2.33,2.9,1238,613,625,2340,916,1424,150,1080,936,610,54,620,128,346,133,516,1002,714,867,1,2020
524, BRAILA,4412,1796,2616,697,3715,3.59,3.24,3.87,1150,563,587,3262,1233,2029,718,1107,1515,375,66,484,147,431,218,751,1274,699,1039,1,2020
525, BRASOV,5148,2293,2855,970,4178,1.96,2.08,1.87,1438,770,668,3710,1523,2187,1024,1243,1286,666,49,569,311,650,316,1114,1274,868,926,1,2020
526, BUZAU,11171,4508,6663,1273,9898,6.51,5.65,7.25,1922,959,963,9249,3549,5700,2230,2376,3717,1097,67,1570,114,753,450,1898,3372,2126,2572,1,2020
527, CALARASI,3200,1497,1703,533,2667,3.52,3.38,3.66,725,348,377,2475,1149,1326,359,838,1075,461,26,385,56,325,135,666,857,581,636,1,2020
528, CARAS-SEVERIN,3351,1508,1843,1008,2343,3.14,3.25,3.05,1446,667,779,1905,841,1064,586,432,687,945,74,437,190,397,168,531,906,653,696,1,2020
529, CLUJ,4465,2306,2159,1460,3005,1.22,1.43,1.05,1914,1127,787,2551,1179,1372,776,426,973,952,107,777,454,567,261,884,1109,950,694,1,2020
530, CONSTANTA,7213,4492,2721,3482,3731,2.47,3.57,1.63,3630,2577,1053,3583,1915,1668,1048,554,1899,2005,83,1180,444,652,283,1184,1987,1532,1575,1,2020
531, COVASNA,2701,1194,1507,545,2156,3.16,3.02,3.28,749,370,379,1952,824,1128,451,1007,609,288,29,256,61,468,196,578,712,347,400,1,2020
532, DAMBOVITA,6432,3073,3359,981,5451,3.35,3.76,3.04,1130,608,522,5302,2465,2837,953,1161,1801,1246,107,920,244,1048,367,1029,1491,1139,1358,1,2020
533, DOLJ,18067,7504,10563,2230,15837,6.79,6.33,7.16,2742,1423,1319,15325,6081,9244,846,5997,5009,3775,121,1948,371,1576,936,3145,5267,3516,3627,1,2020
534, GALATI,10414,4397,6017,1428,8986,5.48,5.07,5.82,1825,973,852,8589,3424,5165,1067,1999,4209,1197,98,1476,368,748,374,1502,3191,2200,2399,1,2020
535, GIURGIU,1624,844,780,390,1234,2,2.23,1.8,347,207,140,1277,637,640,236,286,617,270,18,146,51,175,57,265,391,350,386,1,2020
536, GORJ,4557,2134,2423,1507,3050,3.36,3.46,3.27,1350,728,622,3207,1406,1801,291,298,1394,1230,127,918,299,460,162,717,1270,866,1082,1,2020
537, HARGHITA,5115,2213,2902,1320,3795,3.8,3.73,3.85,1492,756,736,3623,1457,2166,1270,1234,1006,718,84,610,193,790,338,1189,1328,747,723,1,2020
538, HUNEDOARA,5426,2783,2643,2585,2841,3.15,3.39,2.93,3600,1927,1673,1826,856,970,407,374,1253,1600,113,1151,528,565,397,1024,1480,1048,912,1,2020
539, IALOMITA,4225,1807,2418,966,3259,4.52,4.21,4.78,1230,599,631,2995,1208,1787,298,1032,1439,653,44,702,57,383,174,701,1186,824,957,1,2020
540, IASI,8011,3570,4441,989,7022,2.7,2.62,2.78,1202,631,571,6809,2939,3870,536,1541,2678,642,82,2204,328,878,208,1098,2154,1575,2098,1,2020
541, ILFOV,776,451,325,312,464,0.39,0.52,0.28,228,139,89,548,312,236,110,224,148,146,8,63,77,111,39,127,227,139,133,1,2020
542, MARAMURES,5062,2369,2693,1373,3689,2.52,2.57,2.48,2421,1093,1328,2641,1276,1365,138,1709,830,1190,143,704,348,942,331,944,1285,867,693,1,2020
543, MEHEDINTI,6960,2988,3972,1214,5746,6.71,6.12,7.23,1552,772,780,5408,2216,3192,0,1476,3274,1177,60,860,113,551,216,1585,2416,1006,1186,1,2020
544, MURES,15191,8044,7147,1778,13413,1.28,1.36,1.2,1260,644,616,5242,2184,3058,25,141,2641,5162,287,2687,4248,220,1188,3774,4507,2956,2546,1,2020
545, NEAMT,6502,2828,3674,1132,5370,2.76,2.73,2.79,1344,661,683,6266,2592,3674,1076,2333,1596,572,56,673,196,1052,462,1500,1667,897,924,1,2020
546, OLT,7610,3253,4357,1694,5916,4.2,3.93,4.41,1948,1055,893,6783,2736,4047,932,1163,2319,1034,92,1805,265,856,348,1224,2124,1477,1581,1,2020
547, PRAHOVA,8731,3791,4940,1622,7109,5.4,5.1,5.65,2369,1295,1074,4672,2134,2538,1855,725,2790,1786,77,1433,65,809,304,1248,2605,1811,1954,1,2020
548, SALAJ,7041,3429,3612,2625,4416,2.4,2.77,2.13,837,449,388,3488,1354,2134,634,1290,1907,1292,109,1363,446,669,247,1194,2110,1565,1256,1,2020
549, Satu M.,4325,1803,2522,866,3459,4.22,4.02,4.37,667,337,330,3039,1288,1751,313,1186,1146,950,65,494,171,619,330,955,1069,693,659,1,2020
550, SIBIU,3706,1625,2081,534,3172,2.53,2.43,2.61,1117,561,556,2384,1029,1355,559,1374,1051,342,23,277,80,445,243,902,1074,516,526,1,2020
551, SUCEAVA,3501,1590,1911,964,2537,1.78,1.83,1.75,2887,1404,1483,8050,3308,4742,380,1046,853,542,40,416,224,451,227,629,939,562,693,1,2020
552, TELEORMAN,10937,4712,6225,3475,7462,4.72,4.48,4.92,2063,986,1077,7169,2788,4381,579,2397,3140,2083,227,2141,370,1673,676,2054,2912,1676,1946,1,2020
553, TIMIS,9232,3774,5458,1264,7968,6.43,5.37,7.45,1444,817,627,1533,774,759,431,1139,5090,1283,45,1201,43,847,472,1537,2478,1867,2031,1,2020
554, TULCEA,2977,1591,1386,1493,1484,0.85,1.04,0.7,804,453,351,2038,864,1174,206,106,583,878,65,613,526,250,265,541,801,587,533,1,2020
555, VALCEA,2842,1317,1525,806,2036,3.46,3.45,3.47,1589,871,718,3131,1439,1692,0,468,1380,537,0,415,42,412,132,436,858,570,434,1,2020
556, VASLUI,4720,2310,2410,1941,2779,2.96,3.28,2.71,1337,665,672,8981,3459,5522,132,513,984,1296,131,1333,331,452,206,766,1360,1088,848,1,2020
557, VRANCEA,10318,4124,6194,1251,9067,7.66,6.43,8.77,991,476,515,4007,1591,2416,405,1934,4035,1132,70,2687,55,539,301,1630,3491,2144,2213,1,2020
558,BUCURESTI,4998,2067,2931,807,4191,3.68,3.29,4.02,15191,8044,7147,0,0,0,326,1310,1026,754,74,1390,118,473,267,773,1350,1004,1131,1,2020
559,Total TARA ,258917,117302,141615,59078,199839,2.98,2.96,2.99,78527,41140,37387,180390,76162,104228,25529,48456,74714,48438,3415,44518,13847,26347,13196,46712,72998,48706,50958,1,2020
560, ALBA,5482,2441,3041,1918,3564,3.26,3.15,3.35,1959,966,993,3523,1475,2048,645,791,1630,1073,66,964,313,531,318,1107,1548,1000,978,2,2020
561, ARAD,2201,1121,1080,792,1409,1.03,1.17,0.91,851,435,416,1350,686,664,197,535,537,455,39,246,192,244,117,267,615,459,499,2,2020
562, ARGES,8136,3881,4255,2478,5658,3.13,3.16,3.11,1430,833,597,6706,3048,3658,676,1887,2634,1248,117,1208,366,678,422,1579,2334,1626,1497,2,2020
563, BACAU,11332,4569,6763,1776,9556,5.35,5.01,5.6,2722,920,1802,8610,3649,4961,1802,534,1945,2762,102,3912,275,1014,497,1728,3151,2311,2631,2,2020
564, BIHOR,3839,2118,1721,1898,1941,1.45,1.75,1.19,1215,735,480,2624,1383,1241,250,757,836,971,83,541,401,345,199,749,1144,752,650,2,2020
565, BISTRITA NASAUD,3517,1721,1796,1581,1936,2.73,3.02,2.49,1147,650,497,2370,1071,1299,204,290,1104,1003,68,660,188,514,182,663,832,673,653,2,2020
566, BOTOSANI,3371,1460,1911,876,2495,2.47,2.22,2.7,1200,606,594,2171,854,1317,150,1071,844,585,61,558,102,276,112,492,957,682,852,2,2020
567, BRAILA,4355,1773,2582,660,3695,3.54,3.2,3.82,1112,549,563,3243,1224,2019,726,1102,1503,355,63,472,134,398,193,743,1260,721,1040,2,2020
568, BRASOV,5029,2266,2763,942,4087,1.91,2.05,1.81,1409,755,654,3620,1511,2109,998,1242,1271,659,47,508,304,555,306,1112,1266,872,918,2,2020
569, BUZAU,11099,4473,6626,1230,9869,6.46,5.61,7.21,1888,932,956,9211,3541,5670,2228,2367,3688,1098,62,1546,110,720,438,1888,3336,2129,2588,2,2020
570, CALARASI,3136,1488,1648,472,2664,3.45,3.36,3.54,715,350,365,2421,1138,1283,355,826,1030,485,30,356,54,307,128,645,844,564,648,2,2020
571, CARAS-SEVERIN,3324,1514,1810,987,2337,3.11,3.26,3,1434,678,756,1890,836,1054,602,451,689,893,69,423,197,360,169,531,932,634,698,2,2020
572, CLUJ,4357,2258,2099,1401,2956,1.19,1.4,1.02,1870,1144,726,2487,1114,1373,730,490,1040,878,120,709,390,476,287,893,1132,829,740,2,2020
573, CONSTANTA,7048,4392,2656,3352,3696,2.41,3.49,1.59,3548,2521,1027,3500,1871,1629,897,529,1786,1963,82,1320,471,564,286,1167,1930,1530,1571,2,2020
574, COVASNA,2656,1167,1489,500,2156,3.11,2.95,3.24,727,365,362,1929,802,1127,442,1007,610,273,28,239,57,441,200,562,722,343,388,2,2020
575, DAMBOVITA,6364,3025,3339,964,5400,3.31,3.7,3.02,1062,559,503,5302,2466,2836,633,909,1938,1390,134,999,361,858,396,1044,1526,1162,1378,2,2020
576, DOLJ,17999,7516,10483,2177,15822,6.76,6.34,7.11,2717,1414,1303,15282,6102,9180,849,6013,5010,3691,125,1955,356,1512,928,3115,5219,3541,3684,2,2020
577, GALATI,10323,4363,5960,1346,8977,5.43,5.03,5.76,1813,971,842,8510,3392,5118,1083,1997,4238,1089,104,1470,342,682,343,1483,3193,2218,2404,2,2020
578, GIURGIU,1599,820,779,348,1251,1.97,2.16,1.79,329,196,133,1270,624,646,244,289,609,265,18,132,42,178,58,255,381,347,380,2,2020
579, GORJ,4392,2054,2338,1380,3012,3.23,3.33,3.16,1256,690,566,3136,1364,1772,273,287,1398,1171,119,863,281,373,158,706,1233,866,1056,2,2020
580, HARGHITA,4977,2143,2834,1189,3788,3.69,3.61,3.76,1429,710,719,3548,1433,2115,1282,1229,981,658,80,564,183,734,327,1182,1272,736,726,2,2020
581, HUNEDOARA,5546,2873,2673,2431,3115,3.22,3.5,2.97,3678,1991,1687,1868,882,986,411,520,1488,1590,95,976,466,540,343,1021,1606,1139,897,2,2020
582, IALOMITA,4243,1851,2392,942,3301,4.54,4.31,4.73,1213,610,603,3030,1241,1789,300,1036,1469,637,33,710,58,354,172,719,1197,849,952,2,2020
583, IASI,8106,3554,4552,937,7169,2.74,2.61,2.85,1195,612,583,6911,2942,3969,564,1567,2735,629,61,2229,321,824,204,1134,2233,1593,2118,2,2020
584, ILFOV,777,449,328,303,474,0.39,0.52,0.29,228,139,89,549,310,239,106,218,158,144,7,67,77,105,34,135,235,138,130,2,2020
585, MARAMURES,4713,2244,2469,1278,3435,2.35,2.43,2.28,2398,1135,1263,2315,1109,1206,133,1515,830,1112,126,689,308,795,347,884,1242,795,650,2,2020
586, MEHEDINTI,7005,3000,4005,1237,5768,6.76,6.15,7.3,1533,775,758,5472,2225,3247,0,1474,3286,1204,54,876,111,546,230,1590,2427,1017,1195,2,2020
587, MURES,15050,7937,7113,1731,13319,1.27,1.34,1.19,1218,635,583,5182,2155,3027,25,146,2628,5098,292,2660,4201,196,1166,3735,4459,2965,2529,2,2020
588, NEAMT,6400,2790,3610,1092,5308,2.72,2.7,2.74,1307,657,650,6297,2587,3710,1058,2428,1484,542,55,653,180,972,452,1473,1647,925,931,2,2020
589, OLT,7604,3244,4360,1555,6049,4.19,3.92,4.42,1810,955,855,6693,2707,3986,938,1158,2327,1017,91,1832,241,795,323,1257,2139,1504,1586,2,2020
590, PRAHOVA,8503,3662,4841,1489,7014,5.26,4.92,5.54,2292,1268,1024,4562,2112,2450,1824,724,2793,1641,65,1396,60,731,305,1186,2533,1805,1943,2,2020
591, SALAJ,6854,3380,3474,2472,4382,2.34,2.73,2.05,868,491,377,3513,1367,2146,616,1265,1851,1309,99,1280,434,599,237,1180,2069,1528,1241,2,2020
592, Satu M.,4381,1858,2523,916,3465,4.27,4.15,4.37,685,343,342,3048,1283,1765,321,1180,1203,912,62,533,170,581,320,963,1114,741,662,2,2020
593, SIBIU,3733,1626,2107,505,3228,2.55,2.43,2.65,1082,538,544,2447,1052,1395,572,1404,1065,319,24,272,77,439,247,903,1070,535,539,2,2020
594, SUCEAVA,3529,1590,1939,930,2599,1.8,1.83,1.77,2840,1372,1468,8031,3305,4726,391,1078,855,530,40,419,216,452,236,636,950,567,688,2,2020
595, TELEORMAN,10871,4677,6194,3301,7570,4.69,4.45,4.9,2258,1151,1107,7438,3007,4431,621,1928,3444,2046,151,2287,394,1531,695,2046,2959,1695,1945,2,2020
596, TIMIS,9696,4158,5538,1587,8109,6.75,5.91,7.56,1223,690,533,1458,714,744,450,1158,5290,1267,47,1438,46,794,501,1668,2687,1986,2060,2,2020
597, TULCEA,2681,1404,1277,1384,1297,0.76,0.92,0.64,835,462,373,2021,895,1126,329,104,480,759,47,558,404,227,102,536,775,553,488,2,2020
598, VALCEA,2856,1357,1499,782,2074,3.47,3.55,3.41,1509,869,640,3044,1403,1641,0,477,1336,583,0,419,41,400,127,445,751,665,468,2,2020
599, VASLUI,4553,2272,2281,1793,2760,2.85,3.22,2.56,1335,670,665,8873,3407,5466,132,512,1398,1176,127,892,316,377,195,738,1376,1026,841,2,2020
600, VRANCEA,10208,4077,6131,1158,9050,7.58,6.36,8.68,952,466,486,3946,1572,2374,405,1941,3953,889,62,2907,51,456,296,1609,3438,2083,2326,2,2020
601,BUCURESTI,4898,2038,2860,746,4152,3.6,3.24,3.92,15050,7937,7113,0,0,0,327,1290,1820,705,69,581,106,422,230,781,1350,1000,1115,2,2020
602,Total TARA ,256743,116604,140139,56836,199907,2.95,2.94,2.96,77342,40745,36597,179401,75859,103542,24789,47726,77214,47074,3224,43319,13397,23896,12826,46550,73084,49104,51283,2,2020
603, ALBA,5190,2360,2830,2001,3189,3.09,3.05,3.12,1916,966,950,3274,1394,1880,596,671,1544,1099,53,918,309,421,304,1041,1491,1000,933,3,2020
604, ARAD,2234,1153,1081,911,1323,1.04,1.2,0.91,872,464,408,1362,689,673,331,291,598,440,41,309,224,221,120,307,639,460,487,3,2020
605, ARGES,8096,3925,4171,2608,5488,3.12,3.2,3.05,1544,921,623,6552,3004,3548,659,1844,2618,1269,109,1208,389,567,422,1611,2353,1646,1497,3,2020
606, BACAU,10983,4520,6463,1821,9162,5.18,4.96,5.35,2669,897,1772,8314,3623,4691,1745,557,3771,2752,106,1766,286,915,652,2140,2149,2429,2698,3,2020
607, BIHOR,4155,2386,1769,2138,2017,1.56,1.97,1.23,1423,894,529,2732,1492,1240,272,788,923,1035,84,602,451,303,216,844,1240,829,723,3,2020
608, BISTRITA NASAUD,3216,1593,1623,1452,1764,2.49,2.79,2.25,1080,621,459,2136,972,1164,177,259,984,918,64,635,179,406,158,620,779,641,612,3,2020
609, BOTOSANI,3132,1390,1742,779,2353,2.3,2.12,2.46,1122,587,535,2010,803,1207,170,1070,774,507,51,485,75,199,100,461,925,633,814,3,2020
610, BRAILA,4301,1793,2508,664,3637,3.5,3.24,3.71,1139,582,557,3162,1211,1951,724,1068,1495,365,58,452,139,374,196,733,1245,711,1042,3,2020
611, BRASOV,5113,2330,2783,1028,4085,1.95,2.11,1.82,1531,841,690,3582,1489,2093,981,1228,1297,667,51,532,357,522,313,1124,1318,907,929,3,2020
612, BUZAU,10990,4433,6557,1234,9756,6.4,5.56,7.13,1881,927,954,9109,3506,5603,2217,2350,3662,1087,66,1491,117,663,450,1858,3323,2134,2562,3,2020
613, CALARASI,3012,1477,1535,439,2573,3.32,3.33,3.3,689,354,335,2323,1123,1200,350,809,1002,400,30,361,60,267,112,647,820,533,633,3,2020
614, CARAS-SEVERIN,3236,1466,1770,1023,2213,3.03,3.16,2.93,1401,656,745,1835,810,1025,573,425,680,863,60,431,204,311,163,528,912,630,692,3,2020
615, CLUJ,4479,2381,2098,1629,2850,1.22,1.48,1.02,1935,1198,737,2544,1183,1361,677,481,1066,944,113,764,434,417,269,881,1274,897,741,3,2020
616, CONSTANTA,6763,4247,2516,3289,3474,2.31,3.38,1.51,3433,2468,965,3330,1779,1551,868,538,1806,1911,92,1089,459,479,272,1142,1874,1462,1534,3,2020
617, COVASNA,2680,1195,1485,477,2203,3.14,3.03,3.24,738,376,362,1942,819,1123,435,1006,615,292,31,249,52,431,195,576,727,352,399,3,2020
618, DAMBOVITA,6207,2937,3270,893,5314,3.23,3.59,2.96,1040,545,495,5167,2392,2775,631,924,1954,1308,116,938,336,655,393,1052,1570,1156,1381,3,2020
619, DOLJ,17131,7145,9986,1992,15139,6.44,6.02,6.77,2478,1297,1181,14653,5848,8805,827,5795,4802,3399,120,1790,398,1398,861,2962,4960,3399,3551,3,2020
620, GALATI,10247,4367,5880,1464,8783,5.39,5.03,5.69,1861,1018,843,8386,3349,5037,1072,2001,4171,1099,107,1446,351,590,347,1463,3196,2253,2398,3,2020
621, GIURGIU,1640,873,767,386,1254,2.02,2.3,1.77,368,229,139,1272,644,628,232,285,618,305,18,129,53,203,51,258,392,349,387,3,2020
622, GORJ,4314,2096,2218,1522,2792,3.18,3.4,2.99,1290,754,536,3024,1342,1682,269,278,1298,1184,129,839,317,325,160,726,1229,861,1013,3,2020
623, HARGHITA,4843,2167,2676,1222,3621,3.6,3.65,3.55,1396,710,686,3447,1457,1990,1268,1195,963,647,71,528,171,649,311,1151,1282,723,727,3,2020
624, HUNEDOARA,5822,3159,2663,2832,2990,3.38,3.85,2.96,3919,2224,1695,1903,935,968,449,463,1594,1700,88,1032,496,444,360,964,1871,1305,878,3,2020
625, IALOMITA,3996,1795,2201,878,3118,4.27,4.18,4.35,1198,627,571,2798,1168,1630,284,1002,1389,595,28,623,75,300,157,696,1122,788,933,3,2020
626, IASI,7613,3381,4232,876,6737,2.57,2.48,2.65,1107,592,515,6506,2789,3717,548,1533,2648,529,51,2010,294,585,188,1062,2122,1554,2102,3,2020
627, ILFOV,738,418,320,309,429,0.37,0.48,0.28,216,127,89,522,291,231,93,222,142,136,8,60,77,99,30,134,232,125,118,3,2020
628, MARAMURES,4530,2204,2326,1336,3194,2.26,2.39,2.14,2309,1247,1062,2221,957,1264,129,1351,847,1087,117,709,290,702,327,896,1248,773,584,3,2020
629, MEHEDINTI,6923,2911,4012,1170,5753,6.68,5.97,7.31,1546,772,774,5377,2139,3238,0,1474,3285,1151,42,875,96,475,224,1586,2427,1015,1196,3,2020
630, MURES,14996,7908,7088,1885,13111,1.26,1.34,1.19,1176,611,565,4918,2073,2845,22,142,2625,5069,294,2674,4170,176,1189,3693,4473,2949,2516,3,2020
631, NEAMT,6094,2684,3410,1080,5014,2.59,2.59,2.59,1411,747,664,6089,2557,3532,1036,2194,1458,546,69,623,168,883,425,1377,1577,924,908,3,2020
632, OLT,7500,3304,4196,1692,5808,4.13,4,4.25,1792,978,814,6526,2627,3899,902,1157,2314,1003,79,1794,251,632,307,1273,2142,1547,1599,3,2020
633, PRAHOVA,8318,3605,4713,1393,6925,5.14,4.85,5.39,2324,1301,1023,4332,2026,2306,1841,712,2758,1493,62,1353,99,609,304,1209,2490,1800,1906,3,2020
634, SALAJ,6656,3327,3329,2486,4170,2.27,2.69,1.97,800,458,342,3426,1339,2087,568,1151,1815,1303,107,1307,405,504,235,1145,2054,1500,1218,3,2020
635, Satu M.,4226,1797,2429,874,3352,4.12,4.01,4.21,770,415,355,3064,1313,1751,311,1153,1185,858,60,515,144,517,304,946,1079,723,657,3,2020
636, SIBIU,3834,1728,2106,583,3251,2.62,2.58,2.65,1219,638,581,2469,1070,1399,578,1427,1100,342,27,276,84,439,245,922,1103,576,549,3,2020
637, SUCEAVA,3688,1708,1980,1123,2565,1.88,1.97,1.81,2781,1356,1425,7608,3171,4437,394,1073,859,588,51,472,251,434,253,685,1000,613,703,3,2020
638, TELEORMAN,10389,4527,5862,3047,7342,4.49,4.3,4.64,2160,1101,1059,7144,2863,4281,565,2306,2904,1960,169,2162,323,1326,667,2010,2898,1626,1862,3,2020
639, TIMIS,9304,3964,5340,1493,7811,6.48,5.64,7.29,1176,668,508,1273,643,630,434,1103,5118,1151,35,1373,90,714,472,1650,2587,1922,1959,3,2020
640, TULCEA,2449,1311,1138,1320,1129,0.7,0.86,0.57,829,480,349,1971,925,1046,338,139,479,589,41,501,362,206,82,497,751,498,415,3,2020
641, VALCEA,2800,1405,1395,803,1997,3.41,3.68,3.17,1566,904,662,3025,1411,1614,0,439,1279,602,0,422,58,313,222,461,775,586,443,3,2020
642, VASLUI,4591,2315,2276,1821,2770,2.88,3.28,2.56,1314,698,616,8286,3216,5070,125,502,1393,1234,139,881,317,327,201,788,1360,1080,835,3,2020
643, VRANCEA,9600,3914,5686,1069,8531,7.13,6.11,8.05,968,491,477,3885,1574,2311,405,1841,3736,752,53,2772,41,336,249,1380,3267,2043,2325,3,2020
644,BUCURESTI,4853,2065,2788,758,4095,3.57,3.28,3.82,14996,7908,7088,0,0,0,311,1279,1817,724,63,538,121,397,240,795,1326,987,1108,3,2020
